'Erdos1045N6.continuous_discriminant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1045N6.injective_of_discriminant_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1045N6.anchoredAdmissible_compact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1045N6.exists_anchored_maximizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1045N6.exists_global_maximizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1045N6.polynomial_constant_of_local_norm_max' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1045N6.cutPolynomial_norm_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1045N6.no_strict_cut_of_maximizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1045N6.diameterGraph_connected_of_maximizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1045N6.exists_maximizer_with_diameter_tree' depends on axioms: [propext, Classical.choice, Quot.sound]
